"samplesize","run","nu","AUC","Concordance"
5000,1,0.1,0.781768159999998,78.176816
5000,1,0.4,0.799293280000002,79.929328
5000,1,0.7,0.808356479999997,80.835648
5000,1,1,0.815447039999999,81.544704
5000,1,1.5,0.824292160000001,82.429216
5000,1,3,0.8408224,84.08224
5000,1,5,0.853347840000003,85.334784
5000,1,10,0.870008639999991,87.000864
5000,1,20,0.886367679999988,88.636768
6000,1,0.1,0.781285333333333,78.1285222222222
6000,1,0.4,0.799024000000004,79.9023888888889
6000,1,0.7,0.808948111111109,80.8948
6000,1,1,0.815999444444443,81.5999333333333
6000,1,1.5,0.824826888888891,82.4826777777778
6000,1,3,0.841768555555554,84.1768444444444
6000,1,5,0.853807555555554,85.3807444444444
6000,1,10,0.870843222222231,87.0843111111111
6000,1,20,0.889308444444453,88.9308333333333
7000,1,0.1,0.787912081632656,78.7912081632653
7000,1,0.4,0.801468408163266,80.1468408163265
7000,1,0.7,0.809543346938775,80.9543346938776
7000,1,1,0.815468653061223,81.5468653061225
7000,1,1.5,0.823128408163261,82.3128408163265
7000,1,3,0.837970612244902,83.7970612244898
7000,1,5,0.849676816326531,84.9676816326531
7000,1,10,0.865450612244895,86.5450612244898
7000,1,20,0.882269387755097,88.2269387755102
8000,1,0.1,0.784274875,78.427475
8000,1,0.4,0.798884187500004,79.88840625
8000,1,0.7,0.806463312500005,80.64631875
8000,1,1,0.812735437500001,81.27353125
8000,1,1.5,0.820538375000002,82.053825
8000,1,3,0.835146750000004,83.5146625
8000,1,5,0.845984812500002,84.59846875
8000,1,10,0.861398312499993,86.13981875
8000,1,20,0.87754787500001,87.754775
9000,1,0.1,0.77714022222222,77.7140098765432
