samplesize,run,coeflearn,TPR,TNR,Accuracy,CVAccuracy,AUC,Concordance
9000,2,Freund,0.754222222,0.715333333,0.734777778,0.715555556,0.81414163,0.814136395
9000,2,Zhu,0.745333333,0.726444444,0.735888889,0.710555556,0.816334099,0.816326716
9000,3,Breiman,0.737777778,0.728,0.732888889,0.717333333,0.815417333,0.815402025
9000,3,Freund,0.755555556,0.722444444,0.739,0.711555556,0.821143383,0.821133679
9000,3,Zhu,0.750888889,0.730222222,0.740555556,0.711777778,0.823466272,0.82345679
9000,4,Breiman,0.750444444,0.706444444,0.728444444,0.710555556,0.807200617,0.807147802
9000,4,Freund,0.755777778,0.710666667,0.733222222,0.708666667,0.813122099,0.813110914
9000,4,Zhu,0.757333333,0.704444444,0.730888889,0.710777778,0.812365235,0.812334864
9000,5,Breiman,0.739777778,0.734222222,0.737,0.724111111,0.817634815,0.817594716
9000,5,Freund,0.752444444,0.730222222,0.741333333,0.713333333,0.821216148,0.821185185
9000,5,Zhu,0.754444444,0.738,0.746222222,0.718333333,0.827344593,0.827238321
10000,1,Breiman,0.735,0.7218,0.7284,0.7149,0.8126259,0.8125854
10000,1,Freund,0.7414,0.723,0.7322,0.7147,0.81660948,0.81659012
10000,1,Zhu,0.7264,0.7414,0.7339,0.7154,0.82071132,0.82070256
10000,2,Breiman,0.74,0.7172,0.7286,0.7142,0.80965624,0.80964032
10000,2,Freund,0.7242,0.7198,0.722,0.7141,0.80533704,0.80532104
10000,2,Zhu,0.739,0.714,0.7265,0.7135,0.80868208,0.80865744
10000,3,Breiman,0.7506,0.714,0.7323,0.715,0.8136298,0.81361956
10000,3,Freund,0.7536,0.7148,0.7342,0.7131,0.81516398,0.8151558
10000,3,Zhu,0.742,0.7306,0.7363,0.7161,0.81771506,0.81770496
10000,4,Breiman,0.7402,0.7094,0.7248,0.7119,0.80451964,0.80449076
10000,4,Freund,0.7364,0.7218,0.7291,0.7071,0.80703498,0.8069894
10000,4,Zhu,0.7264,0.721,0.7237,0.7084,0.8036788,0.80365744
10000,5,Breiman,0.7426,0.7216,0.7321,0.7188,0.8131551,0.8131132
10000,5,Freund,0.7492,0.7238,0.7365,0.7131,0.81728656,0.81723104
10000,5,Zhu,0.7514,0.7362,0.7438,0.7159,0.82027324,0.82023696
11000,1,Breiman,0.746727273,0.710545455,0.728636364,0.715636364,0.807542231,0.807526975
