"SampleSize","Run","ActivationFunction","Prior","TPR","TNR","Accuracy","AUC","Concordance"
20000,1,sigmoidUnit,0.5,0.7019,0.7784,0.74015,0.816630129999987,0.8166301
20000,1,softplusUnit,0.5,0.7543,0.6958,0.72505,0.793123279999998,0.79312325
20000,1,sigmoidUnit,0.5,0.6618,0.8177,0.73975,0.815743994999999,0.81574397
20000,1,softplusUnit,0.5,0.708,0.7376,0.7228,0.78820307499999,0.78820305
20000,1,softmaxUnit,0.5,0.7457,0.7262,0.73595,0.805272835000005,0.80527281
20000,2,sigmoidUnit,0.5,0.6985,0.7869,0.7427,0.816790605000007,0.8167906
